id,project_number,series_number,run_number,test_number,model_number,ship_name,loading_condition_id,ascii_name,ship_speed,comment,file_path_ascii,file_path_ascii_temp,file_path_log,file_path_hdf5,date,test_type,facility,angle1,angle2,scale_factor,name,lcg,kg,gm,CW,TF,TA,BWL,KXX,KZZ,BTT1,CP,Volume,A0,RH,lpp,beam,ABULB,BKX,TWIN,DCLR,VDES,RHBL,ASKEG,PD,ARH,CFP,AIX,PDTDES,RTYPE,SFP,BKL,BKB,PROT,D,LSKEG,RR,XSKEG,NDES,AR,BR,BRA,IRUD,PTYPE,XRUD,AI,HSKEG,RSKEG,LOA,ship_type_id,xm,ym,zm
22605,40199079,1,1,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run001.hdf5,2020-09-18,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22606,40199079,1,2,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run002.hdf5,2020-09-21,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22607,40199079,1,3,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run003.hdf5,2020-09-22,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22608,40199079,1,4,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run004.hdf5,2020-09-22,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22609,40199079,1,5,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run005.hdf5,2020-09-22,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22610,40199079,1,6,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run006.hdf5,2020-09-23,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22611,40199079,1,7,7,M5139-02-A,M5139-02-A,167,,0.961769764,12.0 kn,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\007\MDL-Proj40199079-Ser001-Test007-Run007.hdf5,2020-09-23,reference speed,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22612,40199079,1,1,8,M5139-02-A,M5139-02-A,167,,0.961769764,Rodergrundvinkel,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\008\MDL-Proj40199079-Ser001-Test008-Run001.hdf5,2020-09-22,rodergrundvinkel,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22613,40199079,1,2,8,M5139-02-A,M5139-02-A,167,,0.961769764,Rodergrundvinkel,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\008\MDL-Proj40199079-Ser001-Test008-Run002.hdf5,2020-09-22,rodergrundvinkel,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
22614,40199079,1,3,8,M5139-02-A,M5139-02-A,167,,0.961769764,Rodergrundvinkel,,,,\\sspa.local\lab\MeasuredataMDL\40199079\001\008\MDL-Proj40199079-Ser001-Test008-Run003.hdf5,2020-09-22,rodergrundvinkel,MDL,,,41.2,Design,-0.244320388,0.438907767,0.136092233,,0.20631068,0.20631068,,0.33131068,1.253640777,,,0.441026784,0.722775264,,5.014563107,0.946601942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-0.214
